title, info,dateCreated, ratingValue, ratingCount, genres
Tự Do,"Tự Do – Freestyle (2023) cần tiền để thuê phòng thu âm, ngôi sao nhạc rap đang lên có quá khứ tội phạm bèn dàn xếp một phi vụ mua bán ma túy đầy rủi ro có thể khiến anh mất tất cả.",Freestyle 2023,"Sep. 14, 2023",8.2,14,"['Phim 18+', 'Phim Chính Kịch', 'Phim Hành Động', 'Phim Hình Sự', '']"
Tiên Sinh Âm Dương,"Tiên Sinh Âm Dương – Mr Yin Yang (2023) tương truyền có một người tên Diêm Bất Phiền rất được yêu mến vì hay lén giúp đỡ người dân ở thị trấn nọ. Người ta đồn rằng, ông trên thông thiên văn dưới tường địa lý, phương pháp trừ tà bắt quỷ tất thảy đều thông thạo, nhìn thấy điều người thường không thấy, vạch rõ bất bình trong thị phi, được xưng là Dương Tiên Sinh.",Mr Yin Yang 2023,"Sep. 14, 2023",4.6,18,"['Phim Bí Ẩn', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Tiếng Gọi Âm Binh,Tiếng Gọi Âm Binh – Khanzab (2023) được dựa trên một vụ thảm sát thầy cúng với tà thuật đen ở Indonesia năm 1998. Chuyện phim diễn ra ở một ngôi làng tại Indonesia và hiện tượng kì lạ ở nhà cầu nguyện trong làng khi các người dân liên tục bị quấy phá khi cầu nguyện.,Khanzab 2023,"Sep. 13, 2023",5.8,28,"['Phim Chiếu Rạp', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Gió Nam Hiểu Lòng Tôi,,South Wind Knows 2023,"Sep. 12, 2023",7.8,18,"['Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Gọi Hồn Quỷ Dữ,Gọi Hồn Quỷ Dữ – Talk to Me (2023) nói về một nhóm bạn phát hiện ra bàn tay ma quái cho phép họ triệu hồi các linh hồn bí ẩn. Họ dần bị cuốn vào trò chơi này mà không biết rằng một trong số họ đã đi quá xa và giải phóng thế lực hắc ám kinh hoàng.,Talk to Me 2023,"Sep. 11, 2023",6.2,41,"['Phim Chiếu Rạp', 'Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Tâm Lý']"
Xác Sống: Daryl Dixon,,The Walking Dead: Daryl Dixon 2023,"Sep. 11, 2023",8.9,68,"['Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Phiêu Lưu', 'Phim Tâm Lý']"
Đứa Trẻ Giả Mạo,,The Changeling 2023,"Sep. 11, 2023",8.1,7,"['Phim Bí Ẩn', 'Phim Kịch Tính', 'Phim Tâm Lý', 'Phim Viễn Tưởng']"
Bà Chủ 3,"Bà Chủ 3 – Queen of Triads 3 câu chuyện diễn ra tại một quốc gia ở Đông Nam Á, nữ chính Thiết Gia Văn chia tay sự nghiệp cảnh sát với nỗi đau mất người yêu và thất bại trong nhiệm vụ, cô mở một phòng tập thể dục ẩn danh và bí mật tìm kiếm dấu vết của kẻ buôn ma túy Bạch Hổ.",Queen of Triads 3 2023,"Sep. 10, 2023",4.6,13,"['Phim Chính Kịch', 'Phim Hành Động', 'Phim Kịch Tính']"
Lật Mặt 6: Tấm Vé Định Mệnh,"Lật Mặt 6: Tấm Vé Định Mệnh một nhóm bạn thân lâu năm bất ngờ nhận được cơ hội đổi đời khi biết tấm vé của cả nhóm trúng giải độc đắc 136.8 tỷ. Đột nhiên An, người nắm giữ tấm vé bất ngờ gặp tai nạn không qua khỏi.",Lat Mat 6: Tam Ve Dinh Menh 2023,"Sep. 09, 2023",7.8,237,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Kịch Tính', 'Phim Tâm Lý']"
Kì Môn Phi Giáp,"Kì Môn Phi Giáp – Qimen Flying Armor (2023) Vương Tiểu Hiệp vốn là một thanh niên không có hoài bão gì lớn lao, sống chung với người cha mù tại trấn. Nguyện vọng duy nhất của cậu là có thể chữa khỏi cho mắt của cha. Trong một lần tình cờ, Vương Tiểu Hiệp gặp được Thẩm Lam Nhi, không may sao lại bị cuốn vào một âm mưu. Anh đến Kỳ Ẩn Môn và cuối cùng phát hiện ra thân thế bị giấu kín của mình.",Qimen Flying Armor 2023,"Sep. 07, 2023",4.1,20,"['Phim Chính Kịch', 'Phim Cổ Trang', 'Phim Kịch Tính', 'Phim Viễn Tưởng']"
I Am Groot Phần 2,,I Am Groot Season 2 2023,"Sep. 06, 2023",7.9,28,"['Phim Gia Đình', 'Phim Hài', 'Phim Hoạt Hình']"
Đảo Hải Tặc,,One Piece Live Action 2023,"Sep. 04, 2023",9.3,755,"['Phim Netflix', 'Phim Phiêu Lưu', 'Phim Viễn Tưởng']"
Barbie,"Barbie sẽ được nhào nặn và chắp bút bởi nữ đạo diễn kiêm biên kịch từng nhận nhiều Đề cử Tượng vàng Oscar – Greta Grewig. Hai nhân vật chính Barbie và Ken sẽ được hóa thân bởi nữ diên viên Margot Robbie và nam thần Ryan Gosling, hứa hẹn sẽ tạo nên “chemistry” đáng yêu giữa hai nhân vật búp bê nổi tiếng thế giới.",Barbie 2023,"Sep. 03, 2023",6.2,180,"['Phim Chiếu Rạp', 'Phim Hài', 'Phim Phiêu Lưu', 'Phim Viễn Tưởng']"
Ninja Rùa: Hỗn Loạn Tuổi Dậy Thì,"Ninja Rùa: Hỗn Loạn Tuổi Dậy Thì – Teenage Mutant Ninja Turtles: Mutant Mayhem (2023) sau nhiều năm được che chở khỏi thế giới loài người, bốn anh em rùa bắt đầu chinh phục trái tim người dân New York và được chấp nhận như những thiếu niên bình thường thông qua những hành động anh hùng. Người bạn mới của họ, April O’Neil, giúp họ đối đầu với một tổ chức tội phạm bí ẩn, nhưng họ sớm gặp rắc rối khi một quân đội đột biến.",Teenage Mutant Ninja Turtles: Mutant Mayhem 2023,"Sep. 02, 2023",8.8,25,"['Phim Hài', 'Phim Hành Động', 'Phim Hoạt Hình']"
Vân Chi Vũ,,My Journey To You 2023,"Sep. 02, 2023",8.8,45,"['Phim Chính Kịch', 'Phim Cổ Trang', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Cuộc Tình Tay Ba,"Cuộc Tình Tay Ba – Happy Ending (2023) sau khi yêu đương hạnh phúc được một năm, Luna đề nghị thêm một người thứ ba vào đời sống tình dục. Điều này khiến mối gắn kết của cô với Mink bị đảo lộn.",Happy Ending 2023,"Sep. 02, 2023",7.9,8,"['Phim 18+', 'Phim Chính Kịch', 'Phim Netflix', 'Phim Tâm Lý', 'Phim Tình Cảm']"
The Moon: Nhiệm Vụ Cuối Cùng,"The Moon: Nhiệm Vụ Cuối Cùng (2023) lấy bối cảnh vào năm 2029, khi Hàn Quốc trở thành quốc gia thứ hai đặt chân lên Mặt trăng. Tuy nhiên, một thảm họa không gian đã xảy ra và các phi hành gia bị mắc kẹt trên Mặt trăng. Họ phải tìm cách sống sót và tìm cách quay trở lại Trái đất.",The Moon 2023,"Sep. 01, 2023",9,81,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Khoa Học', 'Phim Phiêu Lưu', '']"
Dracula: Quỷ Dữ Thức Tỉnh,Dracula: Quỷ Dữ Thức Tỉnh – The Last Voyage of the Demeter (2023) một đoàn thủy thủ tham gia vào nhiệm vụ vận chuyển một “đơn hàng” bí ẩn từ Carpathia đến London trên con tàu Demeter huyền thoại. Hải trình tưởng chừng như đơn giản thế nhưng lại ẩn chứa một cơn ác mộng kinh hoàng khi “đơn hàng” họ vận chuyển đang dần thức tỉnh.,The Last Voyage of the Demeter 2023,"Sep. 01, 2023",7.3,83,"['Phim Chiếu Rạp', 'Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Viễn Tưởng']"
Oan Gia Chung Tường,"Oan Gia Chung Tường – My Worst Neighbor (2023) kể về Seung-jin, chàng nhạc sĩ đầy tham vọng và Ra-ni, một nhà thiết kế mô hình nhân vật. Về mặt “cấu trúc nhà” học, hai người hướng nội tuy ở khác căn nhưng sinh hoạt khó khăn vì dùng chung một bức tường siêu mỏng với khả năng cách âm bằng không. Sau khi dùng 7749 chiêu trò để xua đuổi đối phương thì bỗng thấy thương thương người bên kia tường. Chuyện tình xa mặt…nhưng không cách lòng này hứa hẹn sẽ khiến nhiều thanh niên quyết tâm ra riêng để đường tình duyên trở nên tươi sáng.",My Worst Neighbor 2023,"Sep. 01, 2023",6.5,6,"['Phim Hài', 'Phim Tâm Lý', 'Phim Tình Cảm']"
"Đỏ, Trắng & Xanh Hoàng Gia","Đỏ, Trắng & Xanh Hoàng Gia – Red, White & Royal Blue (2023) sau khi một cuộc ẩu đả xảy ra giữa Alex (con trai của tổng thống) và Hoàng tử Henry của nước Anh tại một sự kiện hoàng gia trở thành chủ đề bị bàn tán trên báo mạng, hiềm khích bấy lâu giữa hai người đã gây ảnh hưởng đến mối quan hệ giữa hai nước Mỹ và Anh. Khi họ bị buộc phải giả bộ làm lành, mối quan hệ băng giá giữa hai người đã tan chảy và dần nảy nở thành một tình cảm sâu sắc mà chính họ cũng không ngờ tới.","Red, White & Royal Blue 2023","Sep. 01, 2023",9.8,77,"['Phim BL', 'Phim Hài', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Ông Kẹ,"Ông Kẹ – The Boogeyman (2023) từ nguyên tác truyện ngắn của bậc thầy truyện kinh dị Stephen King, “Ông Kẹ” kể về câu chuyện của gia đình Harper khi một thực thể siêu nhiên bám theo và liên tục phá rối gia đình họ. Khi mà con quái vật này lấp ló trong bóng tối và chực chờ làm hại cô bé Sawyer như chực chờ một con mồi, chị gái Sadie và bố Will sẽ phải hành động để ngăn chặn điều này trước khi quá muộn.",The Boogeyman 2023,"Aug. 29, 2023",5.9,54,"['Phim Bí Ẩn', 'Phim Chiếu Rạp', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Indiana Jones 5 và Vòng Quay Định Mệnh,"Indiana Jones 5 và Vòng Quay Định Mệnh – Indiana Jones and the Dial of Destiny (2023) sẽ pha trộn giữa thực tế, hư cấu khi lấy bối cảnh năm 1969, lần này Indiana Jones sẽ đối mặt với Đức quốc xã trong thời gian diễn ra cuộc chạy đua vào không gian.",Indiana Jones 5 and the Dial of Destiny 2023,"Aug. 29, 2023",7.9,26,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Phiêu Lưu']"
Cá Mập Siêu Bạo Chúa 2: Vực Sâu,"Cá Mập Siêu Bạo Chúa 2: Vực Sâu – Meg 2: The Trench (2023) tiếp tục nhiệm vụ đã được đề cập trong phần phim trước, nhóm của Jonas Taylor (Jason Statham thủ vai) tiếp cận gần khu vực Rãnh Mariana, nơi họ đụng độ một quái vật bí ẩn, khiến một thành viên trong nhóm thiệt mạng ngay sau đó. Cái chết của người đồng đội báo hiệu cho cả nhóm về một mối đe dọa to lớn đang giấu mình trong những vách đá tối tăm. Thế nhưng, trong cả những viễn cảnh hoang đường nhất, họ cũng không thể ngờ những mối nguy đang chực chờ đe dọa họ có thể tàn ác đến mức nào.",Meg 2: The Trench 2023,"Aug. 27, 2023",7.3,309,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Kịch Tính', 'Phim Kinh Dị', '']"
Nội Gián,"Nội Gián – The Initiated (2023) dựa trên tiểu thuyết của nhà văn Colombia Mario Mendoza và nhân vật thám tử Frank Molina, quá trình quay phim Los Initiados diễn ra ở Bogotá. Trong câu chuyện của Frank Molina, sử dụng các cuốn sách Lady Massacre, La melancolia de los feos, El diario del fin del mundo và Akelarre, câu chuyện về một thám tử tư nghiện rượu vạch trần những âm mưu nham hiểm trong thế giới ngầm Bogotá được kể.",The Initiated 2023,"Aug. 26, 2023",8.3,6,"['Phim Bí Ẩn', 'Phim Hình Sự', 'Phim Kịch Tính']"
Xứ Sở Các Nguyên Tố,"Xứ Sở Các Nguyên Tố – Elemental (2023) trong một thành phố mà các cư dân lửa, nước, đất, và khí cùng sinh sống. Một cô gái nóng nảy và một chàng trai gió-chiều-nào-xoay-chiều-ấy sẽ khám phá ra rằng họ có nhiều điểm giống nhau.",Elemental 2023,"Aug. 26, 2023",9,571,"['Phim Chiếu Rạp', 'Phim Gia Đình', 'Phim Hài', 'Phim Viễn Tưởng']"
Hội Sát Nhân Đọc Sách,Hội Sát Nhân Đọc Sách – Killer Book Club (2023) tám người bạn mê kinh dị phải chiến đấu giữ mạng khi một gã hề sát nhân dường như biết được bí mật chung đầy nghiệt ngã của họ và bắt đầu ra tay với từng người một.,Killer Book Club 2023,"Aug. 26, 2023",7.4,9,"['Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Netflix']"
Ragnarok: Hoàng Hôn Của Chư Thần Phần 3,,Ragnarok Season 3,"Aug. 25, 2023",7.7,14,"['Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Netflix', 'Phim Viễn Tưởng']"
Cô Ấy Mất Tích,"Cô Ấy Mất Tích – Lost in the Stars (2023) vợ của He Fei, Li Muzi, đã biến mất một cách bí ẩn trong chuyến đi kỷ niệm ngày cưới của họ tới Balandia, một hòn đảo nghỉ dưỡng ở Đông Nam Á. Khi He Fei tìm kiếm vô ích, vợ anh lại xuất hiện. Nhưng cô khẳng định mình không phải vợ anh. Người phụ nữ thậm chí còn đưa ra chứng minh thư để chứng minh. Khi luật sư Chen Mai và cảnh sát địa phương Zheng Cheng can thiệp vào vụ án kỳ lạ này, nhiều bí ẩn dần dần xuất hiện…",Lost in the Stars 2023,"Aug. 25, 2023",9.6,18,"['Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Hình Sự', 'Phim Kịch Tính']"
Nhất Lộ Triều Dương,,All the Way to the Sun 2023,"Aug. 25, 2023",8.5,6,"['Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Thước Phim Kinh Hoàng,"Thước Phim Kinh Hoàng – Streamer (2023) một bộ phim kinh dị Hàn Quốc xoay quanh hành trình khám phá toà nhà bỏ hoang của 5 streamer Momo, Jun, Taku, Jaemin và Dasuel.",Streamer 2023,"Aug. 24, 2023",3.9,20,"['Phim Bí Ẩn', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Xạ Thủ Cừ Khôi,"Xạ Thủ Cừ Khôi – Kill Shot (2023) trong vai thợ săn, một nhóm khủng bố đang tìm kiếm 100 triệu đô la đã bị đánh cắp và thất lạc trong một vụ tai nạn máy bay trên đường từ Afghanistan.",Kill Shot 2023,"Aug. 24, 2023",3.4,25,"['Phim Hành Động', 'Phim Kịch Tính', 'Phim Tâm Lý']"
Xâm Lăng Phần 2,,Invasion Season 2 2023,"Aug. 24, 2023",7.4,18,"['Phim Chính Kịch', 'Phim Khoa Học', 'Phim Kịch Tính', 'Phim Viễn Tưởng']"
Nữ Hiệp Sĩ Ahsoka,,Ahsoka 2023,"Aug. 23, 2023",6.9,10,"['Phim Chính Kịch', 'Phim Hành Động', 'Phim Kịch Tính', 'Phim Viễn Tưởng']"
Chước Chước Phong Lưu,,The Legend of Zhuohua 2023,"Aug. 22, 2023",9.1,10,"['Phim Chính Kịch', 'Phim Cổ Trang', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Tình Yêu Này Bất Khả Kháng,,Destined With You 2023,"Aug. 22, 2023",8.9,18,"['Phim Hài', 'Phim Netflix', 'Phim Tâm Lý', 'Phim Tình Cảm', 'Phim Viễn Tưởng']"
Đội Thiếu Niên Siêu Đẳng,,Moving 2023,"Aug. 22, 2023",9.2,158,"['Phim Bí Ẩn', 'Phim Khoa Học', 'Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Viễn Tưởng']"
Vòng Tròn Sinh Tử,"Vòng Tròn Sinh Tử – Circle Line (2023) sau khi chiếc tàu điện ngầm trật bánh rồi đâm vào một đường hầm bỏ hoang, một số hành khách phải tìm đường về nhà trong khi mối nguy hiểm lớn hơn đang rình rập trong bóng tối.",Circle Line 2023,"Aug. 21, 2023",4.8,17,"['Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Tâm Lý']"
Cô Gái Mang Mặt Nạ,,Mask Girl 2023,"Aug. 21, 2023",8.4,69,"['Phim Chính Kịch', 'Phim Hài', 'Phim Netflix']"
Họa Tâm: Song Sinh Kiếp,"Họa Tâm: Song Sinh Kiếp – Painted Heart: Twin Tribulations (2023) kể về vị tướng bất bại Vương Thiên Sinh và Diêu Nhi ngày đêm sát cánh cùng nhau trên chiến trường, trên đường trở về Bắc Kinh, anh đã cứu một người phụ nữ xa lạ Tiểu Nhu, nhưng sự xuất hiện của Tiểu Nhu đã gây ra hiểu lầm giữa Vương Thiên Sinh và Diêu Nhi. Cuối cùng, Diêu Nhi buồn bã rời đi, và một âm mưu khủng khiếp đang diễn ra xung quanh câu chuyện của ba người.",Painted Heart: Twin Tribulations 2023,"Aug. 21, 2023",7.3,6,"['Phim Chính Kịch', 'Phim Cổ Trang', 'Phim Viễn Tưởng']"
"Tình Yêu, Tình Dục Và Tuổi 30","Tình Yêu, Tình Dục Và Tuổi 30 – Love, Sex and 30 Candles (2023) trong năm 30 tuổi, bốn người bạn thân xoay xở với các mối quan hệ, chuyện thất tình và một tình huống động trời có nguy cơ chia cắt họ.","Love, Sex and 30 Candles 2023","Aug. 21, 2023",6,3,"['Phim Chính Kịch', 'Phim Netflix', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Linh Hào Truy Sát,"Linh Hào Truy Sát – The Comeback nói về Shang Wang Yinshou cấu kết với hồ ly yêu Daji để tàn ác và vô tội, gây ra sự trừng phạt của thần thánh. Nàng tiên Côn Lôn Jiang Ziya đã xuống núi cùng với “Fengshen Bang” để tìm chủ nhân chung của thế giới và cứu lấy những người dân thường. Ji Fa, con trai của Xibohou, dần dần phát hiện ra màu sắc thực sự của Yin Shou và quay trở lại Chaoge. Các lực lượng của tất cả các bên đang tăng mạnh, và tình hình đang thay đổi đang bắt đầu xuất hiện …",The Comeback 2023,"Aug. 19, 2023",9.6,22,"['Phim Chính Kịch', 'Phim Hành Động', 'Phim Kịch Tính', 'Phim Tâm Lý']"
Hầu Vương,"Hầu Vương – The Monkey King (2023) một chú khỉ chuyên dùng gậy đồng hành cùng một cô bé trên hành trình tìm kiếm sự bất tử, chiến đấu với quỷ, rồng, thần cũng như chính bản ngã của chú.",The Monkey King 2023,"Aug. 18, 2023",7.9,37,"['Phim Gia Đình', 'Phim Hài', 'Phim Hoạt Hình', 'Phim Netflix', 'Phim Phiêu Lưu', '']"
Nghệ Thuật Săn Quỷ Và Nấu Mì (Phần 2),,The Uncanny Counter Season 2: Counter Punch 2023,"Aug. 18, 2023",9.5,504,"['Phim Bí Ẩn', 'Phim Hành Động', 'Phim Kịch Tính', 'Phim Kinh Dị', '']"
Bão Trắng 3,"Bão Trắng 3 – The White Storm 3 (2023) Âu Chí Viễn và Trương Kiến Hành là cảnh sát chìm hoạt động trong một băng đảng ma túy do ông trùm Khang Tố Sai đứng đầu tại Hongkong. Trong một lần bị thương nặng, Trương Kiến Hành đã được cứu bởi ông trùm ma túy trên một con tàu vượt biên tới khu Tam Giác Vàng.",The White Storm 3: Heaven or Hell 2023,"Aug. 17, 2023",8.2,61,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Hành Động', 'Phim Hình Sự', '', '']"
Điệp Viên Stone,Điệp Viên Stone – Heart of Stone nói về ột nhân viên tình báo của cơ quan gìn giữ hòa bình toàn cầu bí ẩn phải gấp rút ngăn chặn một tin tặc đánh cắp vũ khí có giá trị và nguy hiểm nhất của họ.,Heart of Stone 2023,"Aug. 17, 2023",9.3,54,"['Phim Hành Động', 'Phim Kịch Tính', 'Phim Netflix', 'Phim Tâm Lý']"
Quý Công Tử,"Quý Công Tử – The Childe (2023) xoay quanh người đàn ông bí ẩn được biết đến với tên gọi “Quý Công Tử”. Gã đột nhiên xuất hiện trước mắt Marco, một thanh niên người Philippines mơ ước trở thành vận động viên boxing chuyên nghiệp, lang thang khắp các sàn đấu bất hợp pháp tại đây.",The Childe 2023,"Aug. 17, 2023",9.5,138,"['Phim Chiếu Rạp', 'Phim Hài', 'Phim Hành Động', 'Phim Kịch Tính']"
Đả Canh Nhân Quái Đàm,"Đả Canh Nhân Quái Đàm – The Story of the Night Watcher (2023) chuyện kể về thời Dân Quốc, trấn Lâm Gia bất ngờ xuất hiện vụ án kỳ quái, nhiều người dân như trúng phải tà, bị một thế lực mờ ám thao túng thần trí đi lang thang như xác sống, chỉ trong một đêm đã biến mất không để lại dấu vết.",The Story of the Night Watcher 2023,"Aug. 14, 2023",8.2,13,"['Phim Bí Ẩn', 'Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Viễn Tưởng']"
Cơn Lũ Chết Chóc,Cơn Lũ Chết Chóc – The Flood (2023) một cuộc vượt ngục táo bạo trong cơn bão Louisiana nguy hiểm bị gián đoạn bởi một đàn cá sấu đói lớn.,The Flood 2023,"Aug. 14, 2023",3.2,24,"['Phim Hành Động', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Cội Nguồn Tội Ác,Cội Nguồn Tội Ác – Cobweb (2023) nỗi kinh hoàng ập đến khi cậu bé 8 tuổi tên Peter cố gắng điều tra những tiếng gõ bí ẩn phát ra từ bên trong các bức tường của ngôi nhà và phát hiện bí mật đen tối mà bố mẹ cậu đã giấu lâu nay.,Cobweb 2023,"Aug. 14, 2023",6.6,16,"['Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Tâm Lý']"
The Lost Flowers of Alice Hart,,The Lost Flowers of Alice Hart 2023,"Aug. 14, 2023",7,4,"['Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Tâm Lý']"
Nhà Nghỉ Melati,"Nhà Nghỉ Melati – Motel Melati (2023) trú ẩn tại khu vực bị thị trấn lãng quên, những người du hành mắc kẹt bên trong một nhà nghỉ bị nguyền rủa. Ở đó, chủ nhà buộc họ phải đối mặt với nỗi kinh hoàng đen tối nhất.",Motel Melati 2023,"Aug. 13, 2023",6.1,9,"['Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Tâm Lý']"
Bàn Tay Ma Thuật,,Behind Your Touch 2023,"Aug. 12, 2023",7.7,15,"['Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Hài', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Tôi Mộng Giữa Ban Ngày,,You Are Desire 2023,"Aug. 12, 2023",6.6,42,"['Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Hành Vi Xấu,Hành Vi Xấu – Bisyo (2023) James muốn thoát khỏi một tập đoàn và ước mơ bắt đầu công việc kinh doanh của riêng mình. Nhưng giấc mơ của anh ấy trở thành cơn ác mộng vì việc rời khỏi nhóm sẽ không bao giờ dễ dàng.,Bisyo 2023,"Aug. 10, 2023",5.8,15,"['Phim 18+', 'Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Tà Chú Cấm,"Tà Chú Cấm – Home for Rent (2023) khám phá nỗi ám ảnh từ sự kiện thật tại Thái Lan, kể về gia đình Ning và Kwin khi họ chuyển đến căn hộ chung cư giá rẻ. Hành vi kỳ lạ của Kwin và hình xăm bí ẩn dẫn đến nguy hiểm đối với con gái Ing. Bí mật đen tối trong ngôi nhà thuê đang chờ đợi.",Home for Rent 2023,"Aug. 10, 2023",6.9,208,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Kịch Tính', 'Phim Kinh Dị', '']"
Chuyện Tôi Và Ma Quỷ Thành Người Một Nhà,"Chuyện Tôi Và Ma Quỷ Thành Người Một Nhà – Marry My Dead Body (2023) kể về hôn nhân đồng tính, một trạch nam làm công nhân quét dọn tình cờ nhặt được một bao xì lì cưới, kết quả đối phương là một nam ma quỷ. Nam ma quỷ này yêu cầu trạch nam kia phải hoàn thành tâm nguyện của mình trước tuần đầu mới chịu đầu thai không dây dưa gì nữa.",Marry My Dead Body 2023,"Aug. 10, 2023",9.1,89,"['Phim Bí Ẩn', 'Phim BL', 'Phim Hài', 'Phim Hành Động']"
Trò Chơi Tình Dục,"Trò Chơi Tình Dục – Sex Games (2023) một cặp vợ chồng giàu có thường thêm gia vị cho mối quan hệ tình dục của họ bằng cách thực hiện cái gọi là Trò chơi tình dục. Nhưng khi họ gặp một nhóm ”bạn cùng chơi” mới – một cặp đôi bảo thủ, trò chơi của họ trở nên khó khăn hơn.",Sex Games 2023,"Aug. 09, 2023",6.8,55,"['Phim 18+', 'Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Con Rối Gỗ Kinh Hoàng,"Con Rối Gỗ Kinh Hoàng – The Puppet (2023) thời kỳ Dân quốc, chàng trai Ngô Uy thuộc giai cấp tri thức trẻ dẫn bạn gái và người bạn thân hồi hương. Họ đến một thị trấn hẻo lánh – Thị trấn Mộc Ngẫu, dưới sự sắp xếp của ông trưởng thị trấn mà họ dễ dàng được chấp nhận vào ở dinh thự của gia tộc họ Hoàng.",The Puppet 2023,"Aug. 08, 2023",6.5,21,"['Phim Bí Ẩn', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Già Thiên: Vùng Cấm,"Già Thiên: Vùng Cấm – Forbidden Zone (2023) bầu trời giao hòa, hiện tượng kỳ lạ xuất hiện, trong vũ trụ, chín con rồng kéo chiếc quan khổng lồ bằng đồng ngọc lướt qua vùng sao Bắc Đẩu, và địa điểm cấm kỵ của cuộc sống, hòn đảo Chôn Thiên xuất hiện. Người ta đồn rằng trên hòn đảo Chôn Thiên ẩn chứa kho báu của đế quyền, có thể giúp các võ sĩ nâng cao đáng kể thực lực của họ. Các môn phái lớn và các hành hương tại vùng sao Bắc Đẩu đều tụ họp tại Thiên Đình Vịnh Trời để lên đảo tìm báu vật, trong đó có một người trẻ mồ côi tên là Hư Không.",Forbidden Zone 2023,"Aug. 08, 2023",6.4,12,"['Phim Chính Kịch', 'Phim Cổ Trang', 'Phim Hành Động', 'Phim Viễn Tưởng']"
Mặt Nạ Quỷ,"Mặt Nạ Quỷ – The Ghost Within (2023) bí ẩn về cái chết của em gái Evie 20 năm trước còn bỏ ngỏ, vào lúc 09:09 hằng đêm, hàng loạt cuộc chạm trán kinh hoàng xảy ra. Liệu Margot có biết được sự thật ai là kẻ giết em gái mình?",The Ghost Within 2023,"Aug. 08, 2023",6.7,15,"['Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Tâm Lý']"
Người Nhện: Du Hành Vũ Trụ Nhện,"Người Nhện: Du Hành Vũ Trụ Nhện – Spider-Man: Across the Spider-Verse (2023) Miles Morales tái xuất trong phần tiếp theo của bom tấn hoạt hình từng đoạt giải Oscar – Spider-Man: Across the Spider-Verse. Sau khi gặp lại Gwen Stacy, chàng Spider-Man thân thiện đến từ Brooklyn phải du hành qua đa vũ trụ và gặp một nhóm Người Nhện chịu trách nhiệm bảo vệ các thế giới song song.",Spider-Man: Across the Spider-Verse 2023,"Aug. 07, 2023",9.3,631,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Hoạt Hình', 'Phim Khoa Học', '', '']"
Nam Mao Bắc Mã,"Nam Mao Bắc Mã – Nan Mao Bei Ma (2023) trong thời Trung Hoa Dân Quốc, chiến tranh nổ ra. Một vụ giết người kỳ lạ tại ngôi đền trên núi đã phá vỡ sự yên tĩnh của thị trấn. Đoàn lữ hành của thiếu gia thị trưởng và nhóm của anh ta, ngoại trừ thiếu gia, những người còn lại đều chết bất đắc kỳ tử.",Nan Mao Bei Ma 2023,"Aug. 07, 2023",7.8,17,"['Phim Bí Ẩn', 'Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Tâm Lý']"
